Country Code,Ranking,Economy,(millions of international dollars)
CHN,1,China,23350230
USA,2,United States,19485394
IND,3,India,9596835
JPN,4,Japan,5333444
DEU,5,Germany,4345631
RUS,6,Russian Federation,3783139
BRA,7,Brazil,3255145
IDN,8,Indonesia,3249635
GBR,9,United Kingdom,2965796
FRA,10,France,2954850
ITA,11,Italy,2477386
MEX,12,Mexico,2409660
TUR,13,Turkey,2261008
KOR,14,"Korea, Rep.",1998130
ESP,15,Spain,1818878
SAU,16,Saudi Arabia,1775144
CAN,17,Canada,1707283
IRN,18,"Iran, Islamic Rep.",1695064
THA,19,Thailand,1236472
AUS,20,Australia,1214798
POL,21,Poland,1136348
EGY,22,"Egypt, Arab Rep.",1132434
NGA,23,Nigeria,1123781
PAK,24,Pakistan,1091293
MYS,25,Malaysia,933278
NLD,26,Netherlands,932320
ARG,27,Argentina,922116
PHL,28,Philippines,877169
ZAF,29,South Africa,767167
COL,30,Colombia,711615
ARE,31,United Arab Emirates,695942
VNM,32,Vietnam,648742
IRQ,33,Iraq,648183
BGD,34,Bangladesh,638430
DZA,35,Algeria,631868
BEL,36,Belgium,561911
CHE,37,Switzerland,560354
SGP,38,Singapore,528139
ROU,39,Romania,522113
SWE,40,Sweden,517014
KAZ,41,Kazakhstan,477836
AUT,42,Austria,474007
HKG,43,"Hong Kong SAR, China",455852
CHL,44,Chile,446806
PER,45,Peru,433036
CZE,46,Czech Republic,402796
UKR,47,Ukraine,369566
IRL,48,Ireland,369243
QAT,49,Qatar,339526
ISR,50,Israel,338666
PRT,51,Portugal,335319
MMR,52,Myanmar,329498
NOR,53,Norway,328137
DNK,54,Denmark,313364
GRC,55,Greece,307367
MAR,56,Morocco,298504
KWT,57,Kuwait,298226
HUN,58,Hungary,281880
LKA,59,Sri Lanka,275825
FIN,60,Finland,255270
UZB,61,Uzbekistan,222810
ETH,62,Ethiopia,199759
SDN,63,Sudan,199180
AGO,64,Angola,198299
NZL,65,New Zealand,195340
ECU,66,Ecuador,193049
OMN,67,Oman,191622
BLR,68,Belarus,179475
SVK,69,Slovak Republic,176075
DOM,70,Dominican Republic,172957
AZE,71,Azerbaijan,171952
TZA,72,Tanzania,163993
KEN,73,Kenya,163632
BGR,74,Bulgaria,148228
GTM,75,Guatemala,138142
TUN,76,Tunisia,137650
PRI,77,Puerto Rico,129983
GHA,78,Ghana,129805
LBY,79,Libya,125408
HRV,80,Croatia,108457
SRB,81,Serbia,108345
TKM,82,Turkmenistan,103824
PAN,83,Panama,100501
CIV,84,Côte d'Ivoire,95837
LTU,85,Lithuania,94052
CMR,86,Cameroon,89538
PRY,87,Paraguay,89292
JOR,88,Jordan,88998
LBN,89,Lebanon,88271
CRI,90,Costa Rica,83936
BOL,91,Bolivia,83723
UGA,92,Uganda,80076
NPL,93,Nepal,79194
URY,94,Uruguay,78158
SVN,95,Slovenia,75191
YEM,96,"Yemen, Rep.",73632
COD,97,"Congo, Dem. Rep.",72319
MAC,98,"Macao SAR, China",71824
BHR,99,Bahrain,71208
AFG,100,Afghanistan,70220
ZMB,101,Zambia,68934
KHM,102,Cambodia,64303
LUX,103,Luxembourg,64190
LVA,104,Latvia,55086
SEN,105,Senegal,54804
SLV,106,El Salvador,51170
LAO,107,Lao PDR,48270
HND,108,Honduras,46296
BIH,109,Bosnia and Herzegovina,45969
EST,110,Estonia,44064
TTO,111,Trinidad and Tobago,43326
MLI,112,Mali,41130
ZWE,113,Zimbabwe,40229
MDG,114,Madagascar,39848
MNG,115,Mongolia,39817
GEO,116,Georgia,39794
BWA,117,Botswana,39014
ALB,118,Albania,37192
MOZ,119,Mozambique,37093
GAB,120,Gabon,36682
NIC,121,Nicaragua,36401
BFA,122,Burkina Faso,35818
PNG,123,Papua New Guinea,34718
BRN,124,Brunei Darussalam,33869
MKD,125,North Macedonia,31852
GNQ,126,Equatorial Guinea,30981
CYP,127,Cyprus,30953
TCD,128,Chad,28985
COG,129,"Congo, Rep.",28694
GIN,130,Guinea,28576
TJK,131,Tajikistan,28564
ARM,132,Armenia,28331
MUS,133,Mauritius,28272
NAM,134,Namibia,26531
JAM,135,Jamaica,26202
BEN,136,Benin,25441
RWA,137,Rwanda,24948
KGZ,138,Kyrgyz Republic,23153
PSE,139,West Bank and Gaza,22935
MWI,140,Malawi,22435
NER,141,Niger,21880
SSD,142,South Sudan,20730
MDA,143,Moldova,20269
HTI,144,Haiti,19973
XKX,145,Kosovo,19698
MLT,146,Malta,19093
ISL,147,Iceland,18998
MRT,148,Mauritania,17495
TGO,149,Togo,12971
BHS,150,"Bahamas, The",12056
MNE,151,Montenegro,12046
SWZ,152,Eswatini,11839
SLE,153,Sierra Leone,11565
TLS,154,Timor-Leste,9370
FJI,155,Fiji,8670
SUR,156,Suriname,8559
BDI,157,Burundi,7990
BTN,158,Bhutan,7585
MDV,159,Maldives,7282
LSO,160,Lesotho,6548
GUY,161,Guyana,6363
LBR,162,Liberia,6082
BRB,163,Barbados,5303
ABW,164,Aruba,4157
CPV,165,Cabo Verde,3777
CYM,166,Cayman Islands,3589
GMB,167,"Gambia, The",3569
CAF,168,Central African Republic,3389
BLZ,169,Belize,3194
GNB,170,Guinea-Bissau,3171
SYC,171,Seychelles,2811
LCA,172,St. Lucia,2501
ATG,173,Antigua and Barbuda,2400
COM,174,Comoros,2239
SMR,175,San Marino,2123
GRD,176,Grenada,1634
KNA,177,St. Kitts and Nevis,1585
SLB,178,Solomon Islands,1484
SXM,179,Sint Maarten (Dutch part),1382
WSM,180,Samoa,1304
VCT,181,St. Vincent and the Grenadines,1293
VUT,182,Vanuatu,888
DMA,183,Dominica,742
STP,184,São Tomé and Principe,686
TON,185,Tonga,645
FSM,186,"Micronesia, Fed. Sts.",391
PLW,187,Palau,323
KIR,188,Kiribati,254
MHL,189,Marshall Islands,226
NRU,190,Nauru,194
TUV,191,Tuvalu,44
